COF,CT,ETA
0.8523658514022827,0.10314276814460754,0.005186166614294052
0.24348974227905273,0.22710856795310974,0.20483994483947754
0.5833680033683777,0.2253953367471695,0.20415857434272766
0.5314598679542542,0.3628314435482025,0.40342891216278076
0.5782350301742554,0.22835245728492737,0.2085869014263153
0.5268504023551941,0.35759490728378296,0.404124915599823
0.9531998634338379,0.09931224584579468,0.006135910749435425
0.9588491320610046,0.09896676242351532,0.005344800651073456
0.5441370606422424,0.2923113703727722,0.30597448348999023
0.49667873978614807,0.5557829737663269,0.7051523923873901
0.5293118357658386,0.3631286919116974,0.4042873978614807
0.9605110287666321,0.1088179498910904,0.005601208657026291
0.5162020325660706,0.429558664560318,0.5040513873100281
0.9506193995475769,0.09772215783596039,0.006355516612529755
0.6554124355316162,0.15846224129199982,0.10430826246738434
0.6789045333862305,0.17663255333900452,0.10459338128566742
0.5465147495269775,0.29492494463920593,0.3056880533695221
0.5900787115097046,0.23510010540485382,0.20400889217853546
0.5958548784255981,0.2405601441860199,0.20381036400794983
0.6464072465896606,0.15682560205459595,0.10715684294700623
0.5440964698791504,0.2915624976158142,0.305425763130188
0.5910474061965942,0.2371102273464203,0.20510581135749817
0.9712408781051636,0.10092920064926147,0.0037369728088378906
0.5453449487686157,0.29363518953323364,0.3061075210571289
0.5514212846755981,0.30031701922416687,0.3054853081703186
0.9617018103599548,0.10734608769416809,0.005331665277481079
0.5393799543380737,0.28667932748794556,0.3053398132324219
0.9496180415153503,0.09761063754558563,0.006458953022956848
0.5739707946777344,0.22208227217197418,0.20559024810791016
0.549930214881897,0.3012365698814392,0.3074815273284912
0.5701017379760742,0.21863310039043427,0.20562134683132172
0.5374557971954346,0.2861388623714447,0.3071329593658447
0.9652519822120667,0.09925282001495361,0.004456266760826111
0.6576288938522339,0.16274911165237427,0.10567541420459747
0.9596879482269287,0.1037149578332901,0.005433574318885803
0.5089445114135742,0.4197513461112976,0.5051162838935852
0.5030286312103271,0.491188645362854,0.6052376627922058
0.5777870416641235,0.22418241202831268,0.20431694388389587
0.5729449391365051,0.22204037010669708,0.2064153552055359
0.5111205577850342,0.4212997853755951,0.5025840401649475
0.6575064063072205,0.16397671401500702,0.10653042793273926
0.5413787364959717,0.2901279330253601,0.3065360188484192
0.9463878273963928,0.08412231504917145,0.005943533033132553
0.6454948782920837,0.15573017299175262,0.10666981339454651
0.5799863338470459,0.22757139801979065,0.20554286241531372
0.5407612323760986,0.28892824053764343,0.3060286045074463
0.9720814824104309,0.09361127018928528,0.0033531859517097473
