COF,CT,ETA
0.22655512392520905,0.22496435046195984,0.20557469129562378
0.6768622994422913,0.17483697831630707,0.1052670106291771
0.9612683057785034,0.09476691484451294,0.004805579781532288
0.9520487189292908,0.09953193366527557,0.0062827542424201965
0.5839487314224243,0.22912603616714478,0.20459410548210144
0.9575831294059753,0.09414820373058319,0.00522661954164505
0.5030186176300049,0.48776841163635254,0.6039712429046631
0.6684708595275879,0.1698029786348343,0.10527901351451874
0.5130267143249512,0.4245653748512268,0.5038102865219116
0.505009114742279,0.4947526752948761,0.6062383651733398
0.6564733982086182,0.16369087994098663,0.10682275891304016
0.5769719481468201,0.22415736317634583,0.20518290996551514
0.5831273794174194,0.22823938727378845,0.20376572012901306
0.5649592280387878,0.21289683878421783,0.20478303730487823
0.5694911479949951,0.21908962726593018,0.20688492059707642
0.6547437310218811,0.16171753406524658,0.10652200877666473
0.6484804749488831,0.15411792695522308,0.10435605049133301
0.6613080501556396,0.16536138951778412,0.1057906225323677
0.5310572385787964,0.3694015443325043,0.40746384859085083
0.9637922644615173,0.0930638462305069,0.004367277026176453
0.6632792949676514,0.16325506567955017,0.10352662205696106
0.93985515832901,0.09696081280708313,0.007726307958364487
0.5004116296768188,0.48739174008369446,0.6059003472328186
0.9604121446609497,0.10393598675727844,0.005334682762622833
0.652581512928009,0.15831901133060455,0.10495168715715408
0.5473739504814148,0.29462912678718567,0.30336761474609375
0.5415573120117188,0.28729090094566345,0.30283123254776
0.5422888994216919,0.29059839248657227,0.30541619658470154
0.5845223069190979,0.23347803950309753,0.20664778351783752
0.5442132949829102,0.29142266511917114,0.3039162755012512
0.5440900921821594,0.29280051589012146,0.3055049479007721
0.5724701881408691,0.221277117729187,0.20577287673950195
0.5421613454818726,0.2906251847743988,0.30560141801834106
0.5807662010192871,0.2293374389410019,0.20614275336265564
0.9580743908882141,0.10498671233654022,0.005720749497413635
0.6539574861526489,0.16108590364456177,0.1061391606926918
0.658564031124115,0.16401667892932892,0.10588571429252625
0.5436645746231079,0.29439759254455566,0.30769863724708557
0.5673794746398926,0.21789589524269104,0.20688101649284363
0.5910890698432922,0.2355503886938095,0.20290738344192505
0.5113504528999329,0.42422470450401306,0.5045302510261536
0.5090438723564148,0.42260974645614624,0.5072703957557678
