,CT,ETA,num,2.564102564,50
0.776244283,2.898895741,0.078932077,160,7.433066003,3.94660385
0.943582416,9.166761398,0.344479084,200,23.50451641,17.2239542
0.966523886,9.334580421,0.099274211,240,23.93482159,4.96371055
0.953666568,12.02586746,0.103600539,280,30.83555759,5.18002695
0.970136642,5.385942459,0.029397788,320,13.81010887,1.4698894
0.278053761,0.123032346,0.056642633,360,0.315467554,2.83213165
0.89219141,3.895638227,0.083468422,400,9.988815967,4.1734211
0.834046721,2.275569201,0.080284871,440,5.834792823,4.01424355
0.838682294,3.192536831,0.108885147,480,8.185991874,5.44425735
0.885504901,3.589920759,0.082305513,520,9.204925023,4.11527565
0.881072938,4.015073776,0.096097119,560,10.29506096,4.80485595
0.905071378,4.834217548,0.089906022,600,12.39542961,4.4953011
0.899318397,4.62370348,0.091785647,640,11.85564995,4.58928235
0.907595038,5.108585835,0.092225671,680,13.09893804,4.61128355
0.912839353,5.236583233,0.088658877,720,13.42713649,4.43294385
0.907986104,4.960886955,0.089141913,760,12.72022296,4.45709565
0.833991468,2.519075632,0.088911504,800,6.459168287,4.4455752
0.807988465,3.15722084,0.13303782,840,8.095438051,6.651891
0.93626219,6.527274132,0.078791536,880,16.73660034,3.9395768
0.9449175,8.042062759,0.083125666,920,20.62067374,4.1562833
0.923803926,5.936611176,0.086823903,960,15.22207994,4.34119515
0.908839881,5.003622055,0.088991798,1000,12.82980014,4.4495899
0.927242339,6.59431839,0.091749474,1040,16.90850869,4.5874737
0.942203224,8.487181664,0.092314698,1080,21.76200427,4.6157349
0.945951343,9.072507858,0.091916129,1120,23.26284066,4.59580645
0.912850618,5.386466503,0.091183618,1160,13.81145257,4.5591809
0.861581743,1.714737773,0.146182328,1200,4.396763521,7.3091164
0.884919882,1.795499921,0.123903014,1240,4.603845951,6.1951507
0.903891385,1.546213865,0.087240055,1280,3.964650936,4.36200275
0.772407889,1.852770567,0.052447706,1320,4.750693762,2.6223853
0.643351674,1.991258264,0.106050722,1360,5.105790421,5.3025361
0.450879633,0.859965742,0.10061954,1400,2.205040364,5.030977
0.5127092,1.109578371,0.101313971,1440,2.845072746,5.06569855
0.595045984,1.432216287,0.093639269,1480,3.672349454,4.68196345
0.624849498,1.70185864,0.098162979,1520,4.363740103,4.90814895
0.677029312,2.142243385,0.09817902,1560,5.492931756,4.908951
0.695670247,2.336518764,0.098198414,1600,5.991073754,4.9099207
0.715204537,2.538566589,0.097114846,1640,6.5091451,4.8557423
0.642805934,1.866351843,0.099635035,1680,4.785517546,4.98175175
0.74254632,3.046885014,0.101490587,1720,7.812525677,5.07452935
0.778727174,3.810096264,0.104009494,1760,9.7694776,5.2004747
0.746587157,3.277579069,0.10421358,1800,8.404048895,5.210679
0.742170632,3.061157227,0.099617869,1840,7.849121095,4.98089345
0.78684473,3.854739666,0.09781938,1880,9.883947862,4.890969
0.723398387,2.637645483,0.094474927,1920,6.763193546,4.72374635
0.734950781,2.922876835,0.098741964,1960,7.494555987,4.9370982
0.503966093,1.863442302,0.17181018,2000,4.778057185,8.590509
0.486430675,1.66694355,0.166243315,2040,4.274214231,8.31216575
0.582018912,1.467306256,0.099537209,2080,3.762323733,4.97686045
0.75821203,2.852277517,0.085917369,2120,7.313532095,4.29586845
0.621933162,1.44127512,0.082759336,2160,3.695577231,4.1379668
0.680133581,1.635519624,0.072656676,2200,4.193640062,3.6328338
0.599501789,1.189928889,0.075088993,2256,3.051099715,3.75444965
